BenchmarkDotNet v0.15.8, Windows 11 (10.0.26200.9278/25H2/2025Update/HudsonValley2)
Intel Core Ultra 9 275HX 2.70GHz, 1 CPU, 24 logical and 24 physical cores
.NET SDK 10.0.303
  [Host]     : .NET 10.0.11 (10.0.11, 10.0.1126.37416), X64 RyuJIT x86-64-v3
  Job-XZXOLD : .NET 10.0.11 (10.0.11, 10.0.1126.37416), X64 RyuJIT x86-64-v3

IterationCount=8  RunStrategy=Monitoring  WarmupCount=2  

| Method                | ListSize | Mean            | Error          | StdDev       | Median          | Ratio | RatioSD | Allocated   | Alloc Ratio |

| Method                | ListSize | Mean            | Error          | StdDev       | Median          | Ratio | RatioSD | Allocated   | Alloc Ratio |
|---------------------- |--------- |----------------:|---------------:|-------------:|----------------:|------:|--------:|------------:|------------:|
| WhereContains_EFPlus  | 2099     |     13,576.8 us |    11,668.3 us |   6,102.8 us |     11,286.1 us |  3.50 |    1.58 |  1819.92 KB |        2.45 |
|                       |          |                 |                |              |                 |       |         |             |             |
| Contains_Default      | 5000     |      6,239.5 us |       832.2 us |     435.3 us |      6,062.4 us |  1.00 |    0.09 |  1532.27 KB |        1.00 |
| Contains_EfParameter  | 5000     |      7,645.1 us |     1,888.6 us |     987.8 us |      7,346.1 us |  1.23 |    0.17 |  1367.18 KB |        0.89 |
| Contains_EfConstant   | 5000     |    102,457.1 us |     5,201.5 us |   2,720.5 us |    101,809.9 us | 16.49 |    1.12 |  2084.42 KB |        1.36 |
| Contains_Chunked      | 5000     |     72,228.3 us |    17,445.1 us |   9,124.1 us |     69,066.4 us | 11.62 |    1.57 |  7529.38 KB |        4.91 |
| TempTable_Manual      | 5000     |     93,277.2 us |     5,112.2 us |   2,673.8 us |     93,719.3 us | 15.01 |    1.03 |  1566.07 KB |        1.02 |
| WhereBulkContains_EFE | 5000     |    136,738.6 us |    17,610.8 us |   9,210.8 us |    135,877.0 us | 22.00 |    1.97 |  3345.44 KB |        2.18 |
| WhereContains_EFPlus  | 5000     |    131,681.8 us |    11,977.3 us |   6,264.4 us |    129,672.9 us | 21.19 |    1.64 |  3885.77 KB |        2.54 |
|                       |          |                 |                |              |                 |       |         |             |             |
| Contains_Default      | 10000    |     14,783.1 us |     2,131.7 us |   1,114.9 us |     14,358.0 us |  1.00 |    0.10 |  2922.48 KB |        1.00 |
| Contains_EfParameter  | 10000    |     13,511.6 us |     1,535.7 us |     803.2 us |     13,334.8 us |  0.92 |    0.08 |  2600.88 KB |        0.89 |
| Contains_EfConstant   | 10000    |    117,612.3 us |    17,732.9 us |   9,274.6 us |    115,650.7 us |  7.99 |    0.80 |   4012.2 KB |        1.37 |
| Contains_Chunked      | 10000    |    145,087.4 us |    10,016.8 us |   5,239.0 us |    144,147.2 us |  9.86 |    0.74 | 14923.23 KB |        5.11 |
| TempTable_Manual      | 10000    |    100,677.0 us |     9,471.4 us |   4,953.7 us |     97,618.6 us |  6.84 |    0.56 |   3114.7 KB |        1.07 |
| WhereBulkContains_EFE | 10000    |    126,383.2 us |     8,379.9 us |   4,382.9 us |    126,796.6 us |  8.59 |    0.64 |  7805.67 KB |        2.67 |
| WhereContains_EFPlus  | 10000    |    142,114.0 us |    45,372.9 us |  23,730.9 us |    130,734.7 us |  9.66 |    1.65 |  7532.23 KB |        2.58 |
|                       |          |                 |                |              |                 |       |         |             |             |
| Contains_Default      | 100000   |    272,838.8 us |    56,347.8 us |  29,471.0 us |    280,873.8 us |  1.01 |    0.15 | 27206.16 KB |        1.00 |
| Contains_EfParameter  | 100000   |    243,395.6 us |    46,780.7 us |  24,467.2 us |    238,244.5 us |  0.90 |    0.13 | 24072.36 KB |        0.88 |
| Contains_EfConstant   | 100000   | 20,538,938.4 us | 1,263,715.1 us | 660,947.4 us | 20,442,208.5 us | 76.11 |    8.68 | 18127.28 KB |        0.67 |
| Contains_Chunked      | 100000   |  1,347,234.7 us |    76,204.9 us |  39,856.6 us |  1,334,704.0 us |  4.99 |    0.57 | 147911.7 KB |        5.44 |
| TempTable_Manual      | 100000   |    186,813.0 us |    30,133.1 us |  15,760.2 us |    179,927.5 us |  0.69 |    0.09 | 30113.41 KB |        1.11 |
| WhereBulkContains_EFE | 100000   |    270,091.7 us |    97,953.0 us |  51,231.3 us |    247,788.9 us |  1.00 |    0.21 | 60095.41 KB |        2.21 |
| WhereContains_EFPlus  | 100000   | 19,809,388.6 us | 1,292,756.2 us | 676,136.5 us | 20,050,254.9 us | 73.41 |    8.41 |  51597.1 KB |        1.90 |
